# R64：从开源数据合并来的药名别名。**手工审过的那批在 core/herbs.py 的
# HERB_ALIASES 里**，这个文件是批量合并来的，冲突时以代码里那份为准。
# 药典分列的品种（南北五味子、川怀牛膝、生熟地黄、生制首乌、川广木香）
# 在生成时就被排除，不在这里出现。
别名	正名	出处
木笔花	辛夷	zhongyao-xuexi-baodian/aliases.js
木绵	杜仲	zhongyao-xuexi-baodian/aliases.js
木芍药	牡丹皮	zhongyao-xuexi-baodian/aliases.js
末药	没药	zhongyao-xuexi-baodian/aliases.js
李仁肉	郁李仁	zhongyao-xuexi-baodian/aliases.js
杏子	苦杏仁	zhongyao-xuexi-baodian/aliases.js
杜芫	芫花	zhongyao-xuexi-baodian/aliases.js
条芩	黄芩	zhongyao-xuexi-baodian/aliases.js
杭芍	白芍	zhongyao-xuexi-baodian/aliases.js
松腴	茯苓	zhongyao-xuexi-baodian/aliases.js
松贝	贝母	zhongyao-xuexi-baodian/aliases.js
枝香	广藿香	zhongyao-xuexi-baodian/aliases.js
枣皮	山茱萸	zhongyao-xuexi-baodian/aliases.js
枫斗	石斛	zhongyao-xuexi-baodian/aliases.js
枫果	路路通	zhongyao-xuexi-baodian/aliases.js
枫香果	路路通	zhongyao-xuexi-baodian/aliases.js
枯芩	黄芩	zhongyao-xuexi-baodian/aliases.js
枸杞根皮	地骨皮	zhongyao-xuexi-baodian/aliases.js
柏树子	柏子仁	zhongyao-xuexi-baodian/aliases.js
染绛草	茜草	zhongyao-xuexi-baodian/aliases.js
柚皮橘红	橘红	zhongyao-xuexi-baodian/aliases.js
柳叶白前	白前	zhongyao-xuexi-baodian/aliases.js
柳桂	桂枝	zhongyao-xuexi-baodian/aliases.js
柴草	柴胡	zhongyao-xuexi-baodian/aliases.js
柿丁	柿蒂	zhongyao-xuexi-baodian/aliases.js
柿萼	柿蒂	zhongyao-xuexi-baodian/aliases.js
柿钱	柿蒂	zhongyao-xuexi-baodian/aliases.js
栝楼根	天花	zhongyao-xuexi-baodian/aliases.js
桂圆肉	龙眼肉	zhongyao-xuexi-baodian/aliases.js
桂皮	肉桂	zhongyao-xuexi-baodian/aliases.js
桑条	桑枝	zhongyao-xuexi-baodian/aliases.js
桑果	桑椹	zhongyao-xuexi-baodian/aliases.js
桑皮	桑白皮	zhongyao-xuexi-baodian/aliases.js
桑葚	桑椹	zhongyao-xuexi-baodian/aliases.js
梅片	冰片	zhongyao-xuexi-baodian/aliases.js
梗草	桔梗	zhongyao-xuexi-baodian/aliases.js
棋盘蛇	蕲蛇	zhongyao-xuexi-baodian/aliases.js
棋藤	首乌藤	zhongyao-xuexi-baodian/aliases.js
棒子毛	玉米须	zhongyao-xuexi-baodian/aliases.js
棒槌	人参	zhongyao-xuexi-baodian/aliases.js
棕榈灰	棕榈	zhongyao-xuexi-baodian/aliases.js
棕炭	棕榈	zhongyao-xuexi-baodian/aliases.js
棘仁	酸枣仁	zhongyao-xuexi-baodian/aliases.js
棘菀	远志	zhongyao-xuexi-baodian/aliases.js
榄核莲	穿心莲	zhongyao-xuexi-baodian/aliases.js
榔片	槟榔	zhongyao-xuexi-baodian/aliases.js
槐蕊	槐花	zhongyao-xuexi-baodian/aliases.js
槟榔子	槟榔	zhongyao-xuexi-baodian/aliases.js
檗皮	黄柏	zhongyao-xuexi-baodian/aliases.js
母姜	生姜	zhongyao-xuexi-baodian/aliases.js
毛姑朵花	白头翁	zhongyao-xuexi-baodian/aliases.js
毛姜	骨碎补	zhongyao-xuexi-baodian/aliases.js
毛慈菇	山慈菇	zhongyao-xuexi-baodian/aliases.js
毛桃仁	桃仁	zhongyao-xuexi-baodian/aliases.js
毛蛤壳	瓦楞子	zhongyao-xuexi-baodian/aliases.js
毫芍	白芍	zhongyao-xuexi-baodian/aliases.js
水剑草	石菖蒲	zhongyao-xuexi-baodian/aliases.js
水泻	泽泻	zhongyao-xuexi-baodian/aliases.js
水玉	半夏	zhongyao-xuexi-baodian/aliases.js
水锦花	密蒙花	zhongyao-xuexi-baodian/aliases.js
水鸡头	芡实	zhongyao-xuexi-baodian/aliases.js
汞砂	朱砂	zhongyao-xuexi-baodian/aliases.js
江子	巴豆	zhongyao-xuexi-baodian/aliases.js
江枳壳	枳壳	zhongyao-xuexi-baodian/aliases.js
江枳实	枳实	zhongyao-xuexi-baodian/aliases.js
沉水香	沉香	zhongyao-xuexi-baodian/aliases.js
沙参儿	银柴胡	zhongyao-xuexi-baodian/aliases.js
沙吉珍珠	沙苑子	zhongyao-xuexi-baodian/aliases.js
沙漠人参	肉苁蓉	zhongyao-xuexi-baodian/aliases.js
沿篱豆	扁豆	zhongyao-xuexi-baodian/aliases.js
沿阶草	麦冬	zhongyao-xuexi-baodian/aliases.js
泡参	沙参	zhongyao-xuexi-baodian/aliases.js
泽芬	白芷	zhongyao-xuexi-baodian/aliases.js
洋泻叶	番泻叶	zhongyao-xuexi-baodian/aliases.js
洛阳花	牡丹皮	zhongyao-xuexi-baodian/aliases.js
津骨皮	地骨皮	zhongyao-xuexi-baodian/aliases.js
活磁石	磁石	zhongyao-xuexi-baodian/aliases.js
浙术	白术	zhongyao-xuexi-baodian/aliases.js
浮水麦	浮小麦	zhongyao-xuexi-baodian/aliases.js
浮麦	浮小麦	zhongyao-xuexi-baodian/aliases.js
海南子	槟榔	zhongyao-xuexi-baodian/aliases.js
海带花	海藻	zhongyao-xuexi-baodian/aliases.js
海萝	海藻	zhongyao-xuexi-baodian/aliases.js
海蛎子壳	牡蛎	zhongyao-xuexi-baodian/aliases.js
液石	滑石	zhongyao-xuexi-baodian/aliases.js
淡全蝎	全蝎	zhongyao-xuexi-baodian/aliases.js
淡竹茹	竹茹	zhongyao-xuexi-baodian/aliases.js
淮山药	山药	zhongyao-xuexi-baodian/aliases.js
滴乳香	乳香	zhongyao-xuexi-baodian/aliases.js
潞党	党参	zhongyao-xuexi-baodian/aliases.js
潼蒺藜	沙苑子	zhongyao-xuexi-baodian/aliases.js
火麻子	火麻仁	zhongyao-xuexi-baodian/aliases.js
灯笼头	夏枯草	zhongyao-xuexi-baodian/aliases.js
灵眼	白果	zhongyao-xuexi-baodian/aliases.js
灵磁石	磁石	zhongyao-xuexi-baodian/aliases.js
灵脂米	五灵脂	zhongyao-xuexi-baodian/aliases.js
熏陆香	乳香	zhongyao-xuexi-baodian/aliases.js
爬山虎疗	络石藤	zhongyao-xuexi-baodian/aliases.js
牛口刺	大蓟	zhongyao-xuexi-baodian/aliases.js
牛子	牛蒡子	zhongyao-xuexi-baodian/aliases.js
犁头草	紫花地丁	zhongyao-xuexi-baodian/aliases.js
状元果	益智仁	zhongyao-xuexi-baodian/aliases.js
独叶草	细辛	zhongyao-xuexi-baodian/aliases.js
独摇芝	天麻	zhongyao-xuexi-baodian/aliases.js
独根	黄芪	zhongyao-xuexi-baodian/aliases.js
独茅	仙茅	zhongyao-xuexi-baodian/aliases.js
独角莲	白附子	zhongyao-xuexi-baodian/aliases.js
狼牙草	仙鹤草	zhongyao-xuexi-baodian/aliases.js
猪耳朵穗子	车前子	zhongyao-xuexi-baodian/aliases.js
猫儿眼	甘遂	zhongyao-xuexi-baodian/aliases.js
猴姜	骨碎补	zhongyao-xuexi-baodian/aliases.js
猴毛头	狗脊	zhongyao-xuexi-baodian/aliases.js
玄胡索	延胡索	zhongyao-xuexi-baodian/aliases.js
玉札	地榆	zhongyao-xuexi-baodian/aliases.js
玉果	肉豆蔻	zhongyao-xuexi-baodian/aliases.js
玉桂	肉桂	zhongyao-xuexi-baodian/aliases.js
玉精	人参	zhongyao-xuexi-baodian/aliases.js
玉金	郁金	zhongyao-xuexi-baodian/aliases.js
玉麦须	玉米须	zhongyao-xuexi-baodian/aliases.js
玛格	冬虫夏草	zhongyao-xuexi-baodian/aliases.js
珍珠层粉	珍珠母	zhongyao-xuexi-baodian/aliases.js
琼脂香	沉香	zhongyao-xuexi-baodian/aliases.js
瑞草	灵芝	zhongyao-xuexi-baodian/aliases.js
瓦垄子	瓦楞子	zhongyao-xuexi-baodian/aliases.js
甘杞	枸杞子	zhongyao-xuexi-baodian/aliases.js
甘根	白及	zhongyao-xuexi-baodian/aliases.js
甘菊	菊花	zhongyao-xuexi-baodian/aliases.js
甘葛	葛根	zhongyao-xuexi-baodian/aliases.js
甜石莲	石莲子	zhongyao-xuexi-baodian/aliases.js
甜草	甘草	zhongyao-xuexi-baodian/aliases.js
甜草根	白茅根	zhongyao-xuexi-baodian/aliases.js
田七	三七	zhongyao-xuexi-baodian/aliases.js
申姜	骨碎补	zhongyao-xuexi-baodian/aliases.js
画石	滑石	zhongyao-xuexi-baodian/aliases.js
留求子	使君子	zhongyao-xuexi-baodian/aliases.js
留行子	王不留行	zhongyao-xuexi-baodian/aliases.js
白丑	牵牛子	zhongyao-xuexi-baodian/aliases.js
白参	人参	zhongyao-xuexi-baodian/aliases.js
白姜	干姜	zhongyao-xuexi-baodian/aliases.js
白幕	白薇	zhongyao-xuexi-baodian/aliases.js
白桑皮	桑白皮	zhongyao-xuexi-baodian/aliases.js
白檀	檀香	zhongyao-xuexi-baodian/aliases.js
白沙参	沙参	zhongyao-xuexi-baodian/aliases.js
白百合	百合	zhongyao-xuexi-baodian/aliases.js
白石	阳起石	zhongyao-xuexi-baodian/aliases.js
白给	白及	zhongyao-xuexi-baodian/aliases.js
白花前胡	前胡	zhongyao-xuexi-baodian/aliases.js
白花蛇利草	白花蛇舌草	zhongyao-xuexi-baodian/aliases.js
白茝	白芷	zhongyao-xuexi-baodian/aliases.js
白茯苓	茯苓	zhongyao-xuexi-baodian/aliases.js
白蒺藜	刺蒺藜	zhongyao-xuexi-baodian/aliases.js
白虎	石膏	zhongyao-xuexi-baodian/aliases.js
白蚤休	重楼	zhongyao-xuexi-baodian/aliases.js
白蜜	蜂蜜	zhongyao-xuexi-baodian/aliases.js
白蜡树子	女贞子	zhongyao-xuexi-baodian/aliases.js
白雷丸	雷丸	zhongyao-xuexi-baodian/aliases.js
白龙骨	龙骨	zhongyao-xuexi-baodian/aliases.js
百虫仓	五倍子	zhongyao-xuexi-baodian/aliases.js
百足	蜈蚣	zhongyao-xuexi-baodian/aliases.js
百部根	百部	zhongyao-xuexi-baodian/aliases.js
皮硝	芒硝	zhongyao-xuexi-baodian/aliases.js
皱皮木瓜	木瓜	zhongyao-xuexi-baodian/aliases.js
